date,hits
2019-01-01,222273117
2019-01-02,186215574
2019-01-03,310448550
2019-01-04,255954106
2019-01-05,297899050
2019-01-06,250725649
2019-01-07,245252069
2019-01-08,201993641
2019-01-09,192823059
2019-01-10,298086190
2019-01-11,257592187
2019-01-12,295772377
2019-01-13,272110911
2019-01-14,222955742
2019-01-15,211457991
2019-01-16,194193092
2019-01-17,314176311
2019-01-18,271286143
2019-01-19,303930023
2019-01-20,255638199
2019-01-21,231908714
2019-01-22,222147658
2019-01-23,180571662
2019-01-24,297405804
2019-01-25,269223421
2019-01-26,282242138
2019-01-27,263553702
2019-01-28,228596840
2019-01-29,212615042
2019-01-30,177489624
2019-01-31,296942002
2019-02-01,266849826
2019-02-02,290833116
2019-02-03,251124781
2019-02-04,215555645
2019-02-05,193470519
2019-02-06,169911464
2019-02-07,283861984
2019-02-08,269700589
2019-02-09,267662883
2019-02-10,236439772
2019-02-11,226298796
2019-02-12,225619807
2019-02-13,196376460
2019-02-14,282490826
2019-02-15,248608067
2019-02-16,260861653
2019-02-17,247170152
2019-02-18,209149149
2019-02-19,175031690
2019-02-20,291380071
2019-02-21,282359100
2019-02-22,265178572
2019-02-23,149386079
2019-02-24,192605972
2019-02-25,297361793
2019-02-26,319008380
2019-02-27,307299839
2019-02-28,307013437
2019-03-01,270343190
2019-03-02,183269536
2019-03-03,197948535
2019-03-04,300887004
2019-03-05,312160179
2019-03-06,312222189
2019-03-07,299516123
2019-03-08,293452152
2019-03-09,185571053
2019-03-10,204491708
2019-03-11,309136680
2019-03-12,311459699
2019-03-13,305954127
2019-03-14,292117742
2019-03-15,269862477
2019-03-16,172401810
2019-03-17,198258339
2019-03-18,282821947
2019-03-19,290630853
2019-03-20,285847008
2019-03-21,278091832
2019-03-22,264197463
2019-03-23,161169205
2019-03-24,177248107
2019-03-25,266250888
2019-03-26,291511755
2019-03-27,267304866
2019-03-28,279758607
2019-03-29,228709447
2019-03-30,157349487
2019-03-31,154184995
2019-04-01,263415638
2019-04-02,298136797
2019-04-03,274515891
2019-04-04,277901857
2019-04-05,231865483
2019-04-06,146680983
2019-04-07,153633006
2019-04-08,272880696
2019-04-09,283119732
2019-04-10,281404805
2019-04-11,310092845
2019-04-12,311928329
2019-04-13,320130254
2019-04-14,278515733
2019-04-15,162580727
2019-04-16,181609207
2019-04-17,280390154
2019-04-18,327052115
2019-04-19,333386440
2019-04-20,325485670
2019-04-21,307173825
2019-04-22,170179101
2019-04-23,181372575
2019-04-24,273501661
2019-04-25,336468416
2019-04-26,318746367
2019-04-27,322243141
2019-04-28,294194980
2019-04-29,146540977
2019-04-30,173683221
2019-05-01,259227855
2019-05-02,332996421
2019-05-03,304739731
2019-05-04,322095287
2019-05-05,287010593
2019-05-06,158254901
2019-05-07,168994302
2019-05-08,260021238
2019-05-09,317925503
2019-05-10,308378319
2019-05-11,323929559
2019-05-12,287786049
2019-05-13,136330707
2019-05-14,143085563
2019-05-15,272920680
2019-05-16,310653320
2019-05-17,305726613
2019-05-18,301217232
2019-05-19,253875316
2019-05-20,138231305
2019-05-21,142956899
2019-05-22,254969833
2019-05-23,314057592
2019-05-24,306472276
2019-05-25,302930402
2019-05-26,268601213
2019-05-27,139401762
2019-05-28,158425706
2019-05-29,257093312
2019-05-30,307964876
2019-05-31,276681974
2019-06-01,250098962
2019-06-02,151392035
2019-06-03,162940296
2019-06-04,300160429
2019-06-05,330210771
2019-06-06,344847968
2019-06-07,293397539
2019-06-08,272654661
2019-06-09,155117264
2019-06-10,180679019
2019-06-11,320234714
2019-06-12,348266541
2019-06-13,335848520
2019-06-14,314049004
2019-06-15,247738712
2019-06-16,149642390
2019-06-17,179888810
2019-06-18,293944782
2019-06-19,341719885
2019-06-20,315129887
2019-06-21,293891894
2019-06-22,239122780
2019-06-23,146528957
2019-06-24,172223177
2019-06-25,310074517
2019-06-26,333376352
2019-06-27,305564561
2019-06-28,288637364
2019-06-29,236927223
2019-06-30,148479904
2019-07-01,160718604
2019-07-02,283809857
2019-07-03,306727652
2019-07-04,320026308
2019-07-05,266506808
2019-07-06,237291045
2019-07-07,138555330
2019-07-08,136971808
2019-07-09,279758792
2019-07-10,306297218
2019-07-11,317566366
2019-07-12,283439994
2019-07-13,242979770
2019-07-14,139211802
2019-07-15,155222905
2019-07-16,282825666
2019-07-17,330393699
2019-07-18,310758211
2019-07-19,262308998
2019-07-20,202960819
2019-07-21,316116051
2019-07-22,326172939
2019-07-23,275974743
2019-07-24,290535927
2019-07-25,264988935
2019-07-26,138352613
2019-07-27,187426499
2019-07-28,335597459
2019-07-29,330701613
2019-07-30,279697429
2019-07-31,302620741
2019-08-01,294670104
2019-08-02,137054888
2019-08-03,180553313
2019-08-04,343776166
2019-08-05,348532211
2019-08-06,285668765
2019-08-07,294879188
2019-08-08,281140070
2019-08-09,136954045
2019-08-10,193357023
2019-08-11,321991875
2019-08-12,335325789
2019-08-13,268897919
2019-08-14,272517070
2019-08-15,266859103
2019-08-16,121649109
2019-08-17,178403853
2019-08-18,319884967
2019-08-19,325708191
2019-08-20,286502718
2019-08-21,275606792
2019-08-22,258211837
2019-08-23,121897920
2019-08-24,151806618
2019-08-25,294866366
2019-08-26,302859289
2019-08-27,275242456
2019-08-28,263156810
2019-08-29,252466136
2019-08-30,132647748
2019-08-31,183355745
2019-09-01,324489048
2019-09-02,311783228
2019-09-03,256413213
2019-09-04,267949798
2019-09-05,246603554
2019-09-06,116316973
2019-09-07,149514491
2019-09-08,344644185
2019-09-09,264625370
2019-09-10,304173687
2019-09-11,279543503
2019-09-12,293645415
2019-09-13,129341720
2019-09-14,180905460
2019-09-15,320935339
2019-09-16,261087410
2019-09-17,299335907
2019-09-18,282951166
2019-09-19,310067120
2019-09-20,171598853
2019-09-21,174302572
2019-09-22,328905517
2019-09-23,282120932
2019-09-24,313341414
2019-09-25,295120551
2019-09-26,299583578
2019-09-27,146295710
2019-09-28,184064943
2019-09-29,329134572
2019-09-30,267787273
2019-10-01,292857590
2019-10-02,295976344
2019-10-03,297176831
2019-10-04,156817572
2019-10-05,173549867
2019-10-06,338462152
2019-10-07,248525058
2019-10-08,283500135
2019-10-09,292159287
2019-10-10,294874441
2019-10-11,141692060
2019-10-12,170910104
2019-10-13,302815730
2019-10-14,245665316
2019-10-15,265712911
2019-10-16,266897865
2019-10-17,276944253
2019-10-18,125785052
2019-10-19,178076630
2019-10-20,322358758
2019-10-21,257015028
2019-10-22,253633953
2019-10-23,253521285
2019-10-24,251382509
2019-10-25,133934377
2019-10-26,165075584
2019-10-27,273024020
2019-10-28,175869228
2019-10-29,173399125
2019-10-30,306684298
2019-10-31,306220578
2019-11-01,296264102
2019-11-02,301919295
2019-11-03,288595325
2019-11-04,173951829
2019-11-05,189851106
2019-11-06,296456440
2019-11-07,306774622
2019-11-08,284698793
2019-11-09,317150519
2019-11-10,279611349
2019-11-11,181804941
2019-11-12,195393538
2019-11-13,313812305
2019-11-14,309682197
2019-11-15,287589827
2019-11-16,312948374
2019-11-17,271427834
2019-11-18,187147309
2019-11-19,179964951
2019-11-20,306076401
2019-11-21,310969596
2019-11-22,274068608
2019-11-23,299979597
2019-11-24,260667588
2019-11-25,165641648
2019-11-26,171891716
2019-11-27,294274290
2019-11-28,306440593
2019-11-29,277001302
2019-11-30,280685678
2019-12-01,256681575
2019-12-02,147376234
2019-12-03,156979013
2019-12-04,265968411
2019-12-05,287227382
2019-12-06,266878397
2019-12-07,269836671
2019-12-08,252975306
2019-12-09,171502026
2019-12-10,179841239
2019-12-11,283095322
2019-12-12,288692285
2019-12-13,269406000
2019-12-14,289511670
2019-12-15,239716747
2019-12-16,143925279
2019-12-17,287408358
2019-12-18,288928388
2019-12-19,283207138
2019-12-20,126968218
2019-12-21,179814462
2019-12-22,333028474
2019-12-23,314493595
2019-12-24,304332350
2019-12-25,309849201
2019-12-26,285699092
