date,hits
2019-01-01,108624560
2019-01-02,130814504
2019-01-03,147999398
2019-01-04,148669766
2019-01-05,131564540
2019-01-06,125601044
2019-01-07,135721742
2019-01-08,169704860
2019-01-09,261277556
2019-01-10,267081344
2019-01-11,252466748
2019-01-12,152145206
2019-01-13,146600930
2019-01-14,271796882
2019-01-15,265683206
2019-01-16,264796940
2019-01-17,261155546
2019-01-18,247076948
2019-01-19,148054376
2019-01-20,153973772
2019-01-21,281360228
2019-01-22,274340348
2019-01-23,269932820
2019-01-24,267876734
2019-01-25,251921426
2019-01-26,146534666
2019-01-27,149293652
2019-01-28,273101390
2019-01-29,266381756
2019-01-30,259995506
2019-01-31,258272048
2019-02-01,248194484
2019-02-02,143388542
2019-02-03,146994812
2019-02-04,270926282
2019-02-05,265083476
2019-02-06,262968116
2019-02-07,259472312
2019-02-08,248832632
2019-02-09,145965548
2019-02-10,146544950
2019-02-11,267066074
2019-02-12,259522298
2019-02-13,256992458
2019-02-14,252923402
2019-02-15,238634840
2019-02-16,132325334
2019-02-17,135830030
2019-02-18,260775104
2019-02-19,265510520
2019-02-20,283578242
2019-02-21,280040684
2019-02-22,254815268
2019-02-23,132617798
2019-02-24,146181896
2019-02-25,300505622
2019-02-26,292906256
2019-02-27,285348146
2019-02-28,281204576
2019-03-01,262579364
2019-03-02,143624228
2019-03-03,146791280
2019-03-04,291045890
2019-03-05,281139164
2019-03-06,268992752
2019-03-07,233074802
2019-03-08,127921712
2019-03-09,137429882
2019-03-10,147619520
2019-03-11,297764234
2019-03-12,290222678
2019-03-13,295946408
2019-03-14,290627990
2019-03-15,276714314
2019-03-16,153025178
2019-03-17,158253794
2019-03-18,315018944
2019-03-19,313461212
2019-03-20,311342606
2019-03-21,317524256
2019-03-22,297228992
2019-03-23,159409436
2019-03-24,164233928
2019-03-25,320852084
2019-03-26,325334240
2019-03-27,319931624
2019-03-28,319530374
2019-03-29,299424728
2019-03-30,155452718
2019-03-31,162936896
2019-04-01,341029976
2019-04-02,329999240
2019-04-03,328701260
2019-04-04,314716970
2019-04-05,294326882
2019-04-06,149192444
2019-04-07,151271126
2019-04-08,321807344
2019-04-09,310630922
2019-04-10,305323478
2019-04-11,298772852
2019-04-12,279759968
2019-04-13,141655202
2019-04-14,149256164
2019-04-15,318361622
2019-04-16,312439538
2019-04-17,307019318
2019-04-18,306804602
2019-04-19,290277332
2019-04-20,150916460
2019-04-21,158881934
2019-04-22,333098078
2019-04-23,320832656
2019-04-24,309228374
2019-04-25,304279364
2019-04-26,287550146
2019-04-27,140046680
2019-04-28,143878988
2019-04-29,312749720
2019-04-30,280950080
2019-05-01,139038206
2019-05-02,166264598
2019-05-03,165999140
2019-05-04,154608914
2019-05-05,145672268
2019-05-06,300275054
2019-05-07,265634228
2019-05-08,272431670
2019-05-09,131325698
2019-05-10,155058464
2019-05-11,145514126
2019-05-12,152378066
2019-05-13,332866010
2019-05-14,315987962
2019-05-15,307787438
2019-05-16,304338668
2019-05-17,280431836
2019-05-18,133259366
2019-05-19,146528456
2019-05-20,324170432
2019-05-21,313577390
2019-05-22,305718266
2019-05-23,303180884
2019-05-24,281487080
2019-05-25,140589860
2019-05-26,140317946
2019-05-27,309252056
2019-05-28,293176550
2019-05-29,287829512
2019-05-30,284496692
2019-05-31,264690782
2019-06-01,125775212
2019-06-02,131094080
2019-06-03,294933230
2019-06-04,274138628
2019-06-05,263314484
2019-06-06,277407068
2019-06-07,257999390
2019-06-08,122040452
2019-06-09,127908500
2019-06-10,290504306
2019-06-11,267894902
2019-06-12,165824624
2019-06-13,285334394
2019-06-14,259220324
2019-06-15,123123194
2019-06-16,130738676
2019-06-17,286903724
2019-06-18,280121126
2019-06-19,269342624
2019-06-20,269872640
2019-06-21,247847054
2019-06-22,117405086
2019-06-23,121839908
2019-06-24,284667968
2019-06-25,278896262
2019-06-26,272422328
2019-06-27,271520468
2019-06-28,252577262
2019-06-29,123568046
2019-06-30,124328972
2019-07-01,275534672
2019-07-02,271134944
2019-07-03,261525938
2019-07-04,262315304
2019-07-05,243961778
2019-07-06,115023254
2019-07-07,117428492
2019-07-08,257185904
2019-07-09,259567964
2019-07-10,254057984
2019-07-11,251667278
2019-07-12,232981850
2019-07-13,112102754
2019-07-14,112478810
2019-07-15,259563158
2019-07-16,250811576
2019-07-17,246049076
2019-07-18,240760394
2019-07-19,225998750
2019-07-20,109395416
2019-07-21,110951264
2019-07-22,251726318
2019-07-23,249843500
2019-07-24,248759636
2019-07-25,241855088
2019-07-26,219983114
2019-07-27,105519692
2019-07-28,107967188
2019-07-29,254753654
2019-07-30,248714996
2019-07-31,244819778
2019-08-01,240660914
2019-08-02,225157484
2019-08-03,109886222
2019-08-04,113066366
2019-08-05,253773500
2019-08-06,246475610
2019-08-07,244793204
2019-08-08,243938354
2019-08-09,226698290
2019-08-10,110721788
2019-08-11,111305078
2019-08-12,247881368
2019-08-13,245881976
2019-08-14,241489490
2019-08-15,239025350
2019-08-16,222582020
2019-08-17,109346840
2019-08-18,111091880
2019-08-19,251693090
2019-08-20,241612766
2019-08-21,241153568
2019-08-22,235773902
2019-08-23,220409012
2019-08-24,106261280
2019-08-25,108740390
2019-08-26,252304820
2019-08-27,245489540
2019-08-28,246047324
2019-08-29,245810804
2019-08-30,215885948
2019-08-31,113385614
2019-09-01,117385754
2019-09-02,250843016
2019-09-03,254696624
